2024-07-28 16:48:31 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 16:52:14 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 16:54:01 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 16:54:52 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 16:59:19 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 17:08:50 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 17:11:46 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 17:12:04 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 17:15:04 - INFO - function: login args: () kwargs: {}, result: False
2024-07-28 17:15:06 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 17:25:14 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:25:35 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:35:10 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:35:54 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:44:44 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:45:33 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:46:04 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:47:00 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:48:19 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:48:46 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:49:17 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:50:01 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:57:08 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:57:50 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:58:46 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 17:59:10 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 18:01:33 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 18:18:35 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'user'}
2024-07-28 18:34:00 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 18:38:23 - INFO - function: login args: () kwargs: {}, result: False
2024-07-28 18:38:27 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 18:43:36 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 18:45:31 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
2024-07-28 18:46:30 - INFO - function: login args: () kwargs: {}, result: {'user_type': 'Admin'}
